numero_pedido,fecha_pedido,fecha_inventario,clave_producto,clave_cliente,clave_territorio,cantidad_pedido
SO61285,01/01/2017,13/12/2003,529,23791,1,2
SO61285,01/01/2017,24/09/2003,214,23791,1,3
SO61285,01/01/2017,04/09/2003,540,23791,1,1
SO61301,01/01/2017,28/09/2003,529,16747,1,2
SO61301,01/01/2017,21/10/2003,377,16747,1,1
SO61301,01/01/2017,23/10/2003,540,16747,1,3
SO61269,01/01/2017,04/09/2003,215,11792,1,1
SO61269,01/01/2017,21/10/2003,229,11792,1,2
SO61286,01/01/2017,24/10/2003,528,11530,6,2
SO61286,01/01/2017,27/09/2003,536,11530,6,1
SO61298,01/01/2017,23/10/2003,530,18155,10,1
SO61298,01/01/2017,02/12/2003,214,18155,10,3
SO61298,01/01/2017,15/12/2003,223,18155,10,2
SO61310,01/01/2017,01/10/2003,538,13541,8,2
SO61310,01/01/2017,08/11/2003,584,13541,8,1
SO61270,01/01/2017,06/12/2003,485,18259,9,1
SO61289,01/01/2017,31/10/2003,528,23694,1,1
SO61289,01/01/2017,16/11/2003,536,23694,1,2
SO61289,01/01/2017,20/11/2003,215,23694,1,3
SO61278,01/01/2017,12/10/2003,477,22308,10,3
SO61278,01/01/2017,28/09/2003,479,22308,10,2
SO61278,01/01/2017,10/12/2003,488,22308,10,4
SO61278,01/01/2017,25/09/2003,580,22308,10,1
SO61305,01/01/2017,01/10/2003,583,20236,9,1
SO61283,01/01/2017,13/09/2003,529,26273,1,2
SO61283,01/01/2017,27/09/2003,538,26273,1,1
SO61283,01/01/2017,03/09/2003,220,26273,1,3
SO61288,01/01/2017,23/11/2003,528,19709,6,1
SO61288,01/01/2017,30/10/2003,536,19709,6,2
SO61288,01/01/2017,21/11/2003,220,19709,6,3
SO61272,01/01/2017,05/11/2003,480,21239,9,2
SO61272,01/01/2017,08/09/2003,528,21239,9,1
SO61276,01/01/2017,16/11/2003,223,17252,9,2
SO61276,01/01/2017,31/10/2003,488,17252,9,1
SO61294,01/01/2017,21/10/2003,477,17396,1,1
SO61294,01/01/2017,21/10/2003,484,17396,1,2
SO61274,01/01/2017,08/09/2003,223,27148,9,1
SO61274,01/01/2017,08/10/2003,475,27148,9,2
SO61307,01/01/2017,03/11/2003,215,20260,9,2
SO61307,01/01/2017,06/10/2003,582,20260,9,1
SO61279,01/01/2017,06/11/2003,485,12859,10,2
SO61279,01/01/2017,14/12/2003,362,12859,10,1
SO61271,01/01/2017,13/11/2003,538,20454,9,1
SO61271,01/01/2017,23/09/2003,480,20454,9,2
SO61295,01/01/2017,15/09/2003,480,14751,1,2
SO61295,01/01/2017,03/12/2003,528,14751,1,1
SO61284,01/01/2017,07/12/2003,480,27477,1,2
SO61284,01/01/2017,01/11/2003,538,27477,1,1
SO61290,01/01/2017,02/11/2003,478,23011,1,1
SO61290,01/01/2017,26/11/2003,477,23011,1,2
SO61280,01/01/2017,28/09/2003,214,11891,1,1
SO61309,01/01/2017,26/11/2003,354,13625,9,1
SO61309,01/01/2017,01/11/2003,483,13625,9,2
SO61302,01/01/2017,27/09/2003,477,14486,1,2
SO61302,01/01/2017,29/11/2003,478,14486,1,3
SO61302,01/01/2017,28/11/2003,362,14486,1,1
SO61277,01/01/2017,09/11/2003,223,15050,8,3
SO61277,01/01/2017,19/10/2003,490,15050,8,2
SO61277,01/01/2017,03/11/2003,594,15050,8,1
SO61299,01/01/2017,05/12/2003,528,12411,1,2
SO61299,01/01/2017,12/09/2003,537,12411,1,1
SO61297,01/01/2017,06/12/2003,541,12627,10,1
SO61297,01/01/2017,30/11/2003,477,12627,10,4
SO61297,01/01/2017,06/09/2003,479,12627,10,3
SO61297,01/01/2017,14/12/2003,530,12627,10,2
SO61297,01/01/2017,30/11/2003,489,12627,10,5
SO61306,01/01/2017,28/09/2003,477,23431,9,3
SO61306,01/01/2017,23/09/2003,479,23431,9,2
SO61306,01/01/2017,12/09/2003,580,23431,9,1
SO61275,01/01/2017,19/09/2003,220,13996,9,1
SO61282,01/01/2017,14/11/2003,480,11306,1,1
SO61308,01/01/2017,13/10/2003,477,20246,9,2
SO61308,01/01/2017,07/10/2003,479,20246,9,3
SO61308,01/01/2017,25/10/2003,371,20246,9,1
SO61300,01/01/2017,20/09/2003,477,13164,1,3
SO61300,01/01/2017,10/10/2003,478,13164,1,2
SO61300,01/01/2017,24/11/2003,485,13164,1,1
SO61300,01/01/2017,10/10/2003,471,13164,1,4
SO61293,01/01/2017,04/11/2003,477,18083,1,1
SO61293,01/01/2017,19/09/2003,220,18083,1,2
SO61293,01/01/2017,08/10/2003,232,18083,1,3
SO61311,01/01/2017,15/12/2003,479,22466,7,2
SO61311,01/01/2017,03/09/2003,606,22466,7,1
SO61292,01/01/2017,24/09/2003,477,22012,1,2
SO61292,01/01/2017,17/10/2003,478,22012,1,1
SO61287,01/01/2017,04/11/2003,477,15760,6,2
SO61287,01/01/2017,15/10/2003,478,15760,6,1
SO61287,01/01/2017,27/10/2003,489,15760,6,3
SO61296,01/01/2017,01/12/2003,485,14996,8,1
SO61312,01/01/2017,13/09/2003,566,29082,9,1
SO61273,01/01/2017,28/09/2003,477,23430,9,1
SO61304,01/01/2017,24/11/2003,477,12473,10,2
SO61304,01/01/2017,28/11/2003,479,12473,10,3
SO61304,01/01/2017,03/10/2003,214,12473,10,4
SO61304,01/01/2017,16/11/2003,560,12473,10,1
SO61281,01/01/2017,24/11/2003,539,28808,1,1
SO61303,01/01/2017,05/11/2003,220,13602,10,2
SO61303,01/01/2017,17/12/2003,563,13602,10,1
SO61367,02/01/2017,10/11/2003,477,11099,9,2
SO61367,02/01/2017,08/09/2003,479,11099,9,3
SO61367,02/01/2017,08/11/2003,489,11099,9,4
SO61367,02/01/2017,16/09/2003,575,11099,9,1
SO61315,02/01/2017,08/11/2003,223,15146,9,5
SO61315,02/01/2017,09/10/2003,529,15146,9,2
SO61315,02/01/2017,07/12/2003,220,15146,9,3
SO61315,02/01/2017,05/09/2003,490,15146,9,4
SO61315,02/01/2017,19/09/2003,539,15146,9,1
SO61349,02/01/2017,09/10/2003,541,12563,10,1
SO61349,02/01/2017,11/10/2003,215,12563,10,3
SO61349,02/01/2017,03/10/2003,530,12563,10,2
SO61355,02/01/2017,09/11/2003,226,12563,10,1
SO61370,02/01/2017,09/12/2003,214,11464,9,2
SO61370,02/01/2017,13/11/2003,561,11464,9,1
SO61332,02/01/2017,10/11/2003,528,25967,1,2
SO61332,02/01/2017,08/09/2003,535,25967,1,1
SO61351,02/01/2017,23/11/2003,485,11201,1,2
SO61351,02/01/2017,15/09/2003,214,11201,1,3
SO61351,02/01/2017,15/09/2003,537,11201,1,1
SO61365,02/01/2017,11/10/2003,214,20683,1,2
SO61365,02/01/2017,10/11/2003,582,20683,1,1
SO61320,02/01/2017,25/11/2003,477,28943,9,2
